customerID,signup_date,signup_cohort,plan,billing_cycle,mrr,lifetime_months,is_churned,num_addons,sso_enabled,cloud_backup,device_mgmt,priority_support,video_collab,media_library,acquisition_channel,cac,ltv_observed,ltv_estimated,ltv_cac_ratio,payback_months,gender,SeniorCitizen
4625-XMOYM,2019-01-01,2019-01,Starter,2-Year,26.25,72,0,0,0,0,0,0,0,0,Organic Search,175.24,1988.05,2529.33,14.43,6.7,Female,0
4751-ERMAN,2019-01-01,2019-01,Professional,2-Year,75.4,72,0,4,0,1,1,0,1,1,Paid Social,576.23,5480.25,6037.56,10.48,7.6,Male,0
8237-ULIXL,2019-01-01,2019-01,Starter,2-Year,24.85,72,0,0,0,0,0,0,0,0,Paid Search,310.32,1871.85,2384.26,7.68,12.5,Female,0
9127-FHJBZ,2019-01-01,2019-01,Business,2-Year,114.0,72,0,6,1,1,1,1,1,1,Partnerships,618.88,8093.15,9232.28,14.92,5.4,Male,0
1090-ESELR,2019-01-01,2019-01,Business,2-Year,105.5,72,0,5,1,1,0,1,1,1,Paid Search,311.02,7611.55,8665.75,27.86,2.9,Male,0
5727-MYATE,2019-01-01,2019-01,Business,2-Year,90.8,72,0,6,1,1,1,1,1,1,Partnerships,785.69,6397.6,7304.91,9.3,8.7,Male,0
7971-HLVXI,2019-01-01,2019-01,Business,2-Year,84.5,72,0,1,0,0,0,0,0,1,Organic Search,155.88,6130.85,6975.21,44.75,1.8,Male,0
2091-GPPIQ,2019-01-01,2019-01,Professional,2-Year,78.95,72,0,4,0,1,0,1,1,1,Organic Search,168.5,5730.15,6313.7,37.47,2.1,Female,0
6176-YJWAS,2019-01-01,2019-01,Business,2-Year,97.95,72,0,4,1,1,1,0,1,0,Referral,331.35,7114.25,8093.01,24.42,3.4,Male,0
1335-HQMKX,2019-01-02,2019-01,Business,Annual,101.35,72,0,4,0,1,1,0,1,1,Organic Search,160.6,7323.15,8335.88,51.9,1.6,Female,0
5451-YHYPW,2019-01-02,2019-01,Business,2-Year,115.75,72,0,6,1,1,1,1,1,1,Organic Search,142.87,8443.7,9600.32,67.2,1.2,Female,1
2452-MRMZF,2019-01-02,2019-01,Starter,2-Year,25.7,72,0,0,0,0,0,0,0,0,Organic Search,216.66,1937.4,2467.34,11.39,8.4,Female,1
7765-LWVVH,2019-01-02,2019-01,Business,2-Year,95.1,72,0,3,1,1,0,0,1,0,Content,227.41,6843.15,7793.43,34.27,2.4,Female,0
6024-RUGGH,2019-01-02,2019-01,Starter,2-Year,25.2,72,0,0,0,0,0,0,0,0,Referral,277.26,1798.9,2318.53,8.36,11.0,Male,0
7730-CLDSV,2019-01-02,2019-01,Business,2-Year,98.65,72,0,4,0,1,1,1,0,1,Referral,291.75,7129.45,8115.2,27.82,3.0,Female,0
8513-OLYGY,2019-01-03,2019-01,Business,2-Year,115.8,72,0,6,1,1,1,1,1,1,Paid Social,476.27,8332.15,9489.27,19.92,4.1,Male,0
4312-KFRXN,2019-01-03,2019-01,Starter,2-Year,25.4,72,0,0,0,0,0,0,0,0,Organic Search,133.74,1710.9,2234.65,16.71,5.3,Male,0
4900-MSOMT,2019-01-03,2019-01,Business,2-Year,80.2,72,0,5,1,1,1,1,1,0,Paid Social,476.47,5714.2,6515.59,13.67,5.9,Female,0
2192-CKRLV,2019-01-03,2019-01,Professional,2-Year,49.2,72,0,4,1,1,1,0,0,1,Paid Search,350.97,3580.95,3944.61,11.24,7.1,Female,0
0973-KYVNF,2019-01-03,2019-01,Professional,2-Year,70.65,72,0,4,1,1,1,0,1,0,Organic Search,202.71,5011.15,5533.35,27.3,2.9,Female,0
2193-SFWQW,2019-01-03,2019-01,Business,2-Year,111.95,72,0,6,1,1,1,1,1,1,Referral,148.62,8033.1,9151.75,61.58,1.3,Male,0
0562-FGDCR,2019-01-03,2019-01,Professional,2-Year,74.55,72,0,4,1,1,0,1,1,0,Organic Search,124.52,5430.65,5981.68,48.04,1.7,Female,0
9443-JUBUO,2019-01-03,2019-01,Professional,2-Year,65.25,72,0,6,1,1,1,1,1,1,Paid Search,460.38,4478.85,4961.14,10.78,7.1,Male,0
7173-TETGO,2019-01-03,2019-01,Professional,2-Year,78.5,72,0,1,1,0,0,0,0,0,Paid Social,482.34,5602.25,6182.48,12.82,6.1,Female,1
2274-XUATA,2019-01-03,2019-01,Professional,2-Year,63.1,72,0,6,1,1,1,1,1,1,Content,176.62,4685.55,5151.95,29.17,2.8,Male,1
5787-KXGIY,2019-01-03,2019-01,Starter,2-Year,19.3,72,0,0,0,0,0,0,0,0,Paid Search,616.37,1304.8,1702.77,2.76,31.9,Male,0
8374-UULRV,2019-01-03,2019-01,Business,2-Year,86.05,72,0,5,1,1,0,1,1,1,Organic Search,160.94,6309.65,7169.5,44.55,1.9,Male,0
0619-OLYUR,2019-01-03,2019-01,Business,2-Year,111.9,72,0,5,1,0,1,1,1,1,Partnerships,799.73,8071.05,9189.2,11.49,7.1,Male,0
7463-IFMQU,2019-01-03,2019-01,Starter,2-Year,20.05,72,0,0,0,0,0,0,0,0,Content,113.87,1423.65,1837.08,16.13,5.7,Female,0
9739-JLPQJ,2019-01-03,2019-01,Business,2-Year,117.5,72,0,6,1,1,1,1,1,1,Referral,323.87,8670.1,9844.21,30.4,2.8,Female,0
2314-TNDJQ,2019-01-03,2019-01,Professional,2-Year,55.65,72,0,5,1,1,1,1,0,1,Paid Search,530.49,3880.05,4291.38,8.09,9.5,Female,0
7873-CVMAW,2019-01-04,2019-01,Business,2-Year,88.55,72,0,6,1,1,1,1,1,1,Paid Search,311.8,6362.35,7247.18,23.24,3.5,Male,0
0988-AADSA,2019-01-04,2019-01,Business,2-Year,80.85,72,0,5,1,1,1,1,0,1,Referral,274.21,5824.75,6632.64,24.19,3.4,Female,0
0254-FNMCI,2019-01-04,2019-01,Business,2-Year,109.9,72,0,6,1,1,1,1,1,1,Paid Search,336.94,7624.2,8722.36,25.89,3.1,Female,0
6928-ONTRW,2019-01-04,2019-01,Starter,2-Year,19.7,72,0,0,0,0,0,0,0,0,Partnerships,799.49,1379.8,1786.02,2.23,40.6,Female,0
0301-FIDRB,2019-01-04,2019-01,Professional,2-Year,63.8,72,0,6,1,1,1,1,1,1,Paid Social,625.48,4684.3,5155.87,8.24,9.8,Female,0
3913-FCUUW,2019-01-04,2019-01,Professional,2-Year,70.45,72,0,4,1,1,1,1,0,0,Content,201.82,5165.7,5686.43,28.18,2.9,Female,0
6437-UDQJM,2019-01-04,2019-01,Business,2-Year,84.1,72,0,5,1,1,1,0,1,1,Partnerships,656.96,6129.65,6970.01,10.61,7.8,Female,1
2509-TFPJU,2019-01-04,2019-01,Starter,2-Year,25.75,72,0,0,0,0,0,0,0,0,Organic Search,200.28,1864.2,2395.17,11.96,7.8,Male,0
9675-ICXCT,2019-01-04,2019-01,Business,2-Year,80.8,72,0,5,1,0,1,1,1,1,Referral,266.39,5728.55,6535.94,24.54,3.3,Male,0
9114-DPSIA,2019-01-04,2019-01,Business,2-Year,81.0,72,0,5,1,1,1,1,0,1,Organic Search,135.54,5750.0,6559.38,48.39,1.7,Male,0
9802-CAQUT,2019-01-04,2019-01,Business,2-Year,109.55,72,0,5,1,1,1,0,1,1,Content,261.25,7887.25,8981.92,34.38,2.4,Female,0
2167-FQSTQ,2019-01-04,2019-01,Business,2-Year,92.4,72,0,6,1,1,1,1,1,1,Content,233.41,6786.1,7709.4,33.03,2.5,Female,0
3865-YIOTT,2019-01-04,2019-01,Business,Annual,106.1,72,0,4,1,0,1,0,1,1,Partnerships,860.1,7848.5,8908.69,10.36,8.1,Male,0
4079-WWQQQ,2019-01-04,2019-01,Professional,2-Year,65.55,72,0,6,1,1,1,1,1,1,Content,147.29,4807.45,5291.96,35.93,2.2,Male,0
8468-FZTOE,2019-01-04,2019-01,Professional,2-Year,74.35,72,0,5,1,1,1,1,0,1,Paid Search,428.65,5237.4,5786.95,13.5,5.8,Female,0
1053-MXTTK,2019-01-04,2019-01,Business,2-Year,108.65,72,0,6,1,1,1,1,1,1,Partnerships,749.9,7726.35,8812.02,11.75,6.9,Female,0
5668-MEISB,2019-01-05,2019-01,Business,2-Year,106.1,72,0,5,1,1,1,1,1,0,Partnerships,913.29,7657.4,8717.59,9.55,8.6,Female,0
6701-YVNQG,2019-01-05,2019-01,Business,2-Year,88.7,72,0,6,1,1,1,1,1,1,Partnerships,627.69,6301.7,7188.03,11.45,7.1,Male,0
9838-BFCQT,2019-01-05,2019-01,Starter,2-Year,26.1,72,0,0,0,0,0,0,0,0,Paid Social,622.64,1851.45,2389.63,3.84,23.9,Male,0
9297-EONCV,2019-01-05,2019-01,Business,2-Year,91.35,72,0,6,1,1,1,1,1,1,Paid Search,356.41,6697.2,7610.01,21.35,3.9,Female,0
3938-YFPXD,2019-01-05,2019-01,Business,2-Year,84.3,72,0,5,1,0,1,1,1,1,Referral,212.08,5997.1,6839.46,32.25,2.5,Male,0
9070-BCKQP,2019-01-05,2019-01,Business,2-Year,110.15,72,0,5,1,0,1,1,1,1,Referral,183.9,7881.2,8981.86,48.84,1.7,Female,0
1937-OTUKY,2019-01-05,2019-01,Business,2-Year,98.2,72,0,4,1,0,1,1,1,0,Paid Search,560.78,7015.9,7997.15,14.26,5.7,Female,0
0378-CJKPV,2019-01-05,2019-01,Business,2-Year,112.1,72,0,6,1,1,1,1,1,1,Content,278.9,7965.95,9086.1,32.58,2.5,Female,0
0536-ACXIP,2019-01-05,2019-01,Business,2-Year,109.55,72,0,5,1,1,1,0,1,1,Paid Search,528.34,8165.1,9259.77,17.53,4.8,Female,0
4815-YOSUK,2019-01-05,2019-01,Business,Annual,104.9,72,0,5,1,1,1,1,0,1,Paid Search,490.52,7537.5,8585.7,17.5,4.7,Male,0
1291-CUOCY,2019-01-05,2019-01,Business,2-Year,110.6,72,0,5,0,1,1,1,1,1,Organic Search,216.31,7962.2,9067.36,41.92,2.0,Male,0
7203-OYKCT,2019-01-06,2019-01,Business,Annual,104.95,72,0,4,0,1,1,0,1,1,Partnerships,724.46,7544.3,8593.0,11.86,6.9,Male,0
0238-WHBIQ,2019-01-06,2019-01,Business,2-Year,89.7,72,0,6,1,1,1,1,1,1,Paid Search,539.3,6339.3,7235.62,13.42,6.0,Male,0
2878-RMWXY,2019-01-06,2019-01,Business,2-Year,102.65,72,0,4,1,1,1,0,0,1,Paid Search,382.75,7550.3,8576.02,22.41,3.7,Male,1
0404-AHASP,2019-01-06,2019-01,Starter,2-Year,19.7,72,0,0,0,0,0,0,0,0,Content,212.41,1421.9,1828.12,8.61,10.8,Male,0
5286-YHCVC,2019-01-06,2019-01,Business,2-Year,104.8,72,0,4,0,1,1,0,1,1,Content,231.64,7470.1,8517.3,36.77,2.2,Male,0
6917-FIJHC,2019-01-06,2019-01,Starter,2-Year,26.0,72,0,0,0,0,0,0,0,0,Organic Search,175.54,1776.0,2312.12,13.17,6.8,Female,0
9430-NKQLY,2019-01-06,2019-01,Starter,2-Year,25.1,72,0,0,0,0,0,0,0,0,Paid Search,562.59,1790.8,2308.36,4.1,22.4,Male,0
9958-MEKUC,2019-01-06,2019-01,Business,2-Year,103.95,72,0,5,1,1,1,1,0,1,Paid Social,570.91,7517.7,8556.41,14.99,5.5,Male,0
3146-MSEGF,2019-01-06,2019-01,Business,2-Year,88.05,72,0,6,1,1,1,1,1,1,Partnerships,757.08,6425.65,7305.48,9.65,8.6,Female,1
2226-ICFDO,2019-01-07,2019-01,Business,2-Year,85.9,72,0,5,1,0,1,1,1,1,Paid Social,603.28,6110.75,6969.1,11.55,7.0,Female,0
1027-LKKQQ,2019-01-07,2019-01,Business,2-Year,80.45,72,0,5,1,0,1,1,1,1,Referral,333.12,5886.85,6690.74,20.09,4.1,Female,0
3580-HYCSP,2019-01-07,2019-01,Business,2-Year,110.3,72,0,5,1,1,1,0,1,1,Paid Search,362.85,7966.9,9069.06,24.99,3.3,Male,0
5376-PCKNB,2019-01-07,2019-01,Business,Annual,104.45,72,0,4,0,1,1,0,1,1,Paid Social,572.57,7459.0,8502.71,14.85,5.5,Male,0
4291-TPNFG,2019-01-07,2019-01,Business,2-Year,82.3,72,0,5,1,1,1,1,0,1,Paid Search,386.16,5980.55,6802.92,17.62,4.7,Male,0
4821-WQOYN,2019-01-07,2019-01,Starter,2-Year,20.1,72,0,0,0,0,0,0,0,0,Paid Search,426.31,1326.25,1740.71,4.08,21.2,Female,0
7684-XSZIY,2019-01-07,2019-01,Starter,2-Year,24.3,72,0,0,0,0,0,0,0,0,Organic Search,102.35,1643.25,2144.32,20.95,4.2,Male,0
0019-EFAEP,2019-01-07,2019-01,Business,2-Year,101.3,72,0,4,1,1,1,0,1,0,Organic Search,248.01,7261.25,8273.48,33.36,2.4,Female,0
1926-QUZNN,2019-01-07,2019-01,Starter,2-Year,25.25,72,0,0,0,0,0,0,0,0,Content,179.35,1841.2,2361.86,13.17,7.1,Female,0
4992-LTJNE,2019-01-07,2019-01,Professional,2-Year,55.3,72,0,1,1,0,0,0,0,0,Organic Search,79.96,3983.6,4392.35,54.93,1.4,Male,0
9489-JMTTN,2019-01-07,2019-01,Business,2-Year,89.75,72,0,6,1,1,1,1,1,1,Content,304.03,6595.9,7492.72,24.64,3.4,Female,0
5327-XOKKY,2019-01-07,2019-01,Professional,2-Year,73.45,72,0,3,0,0,1,0,1,1,Organic Search,183.54,5329.0,5871.9,31.99,2.5,Male,1
9778-OGKQZ,2019-01-07,2019-01,Business,2-Year,92.0,72,0,6,1,1,1,1,1,1,Paid Social,348.03,6782.15,7701.45,22.13,3.8,Male,0
4737-AQCPU,2019-01-07,2019-01,Professional,2-Year,72.1,72,0,4,1,1,1,1,0,0,Paid Social,684.97,5016.65,5549.57,8.1,9.5,Male,0
8398-TBIYD,2019-01-07,2019-01,Business,2-Year,84.7,72,0,2,1,0,0,1,0,0,Partnerships,954.12,6185.15,7031.51,7.37,11.3,Female,0
6181-AXXYF,2019-01-08,2019-01,Starter,2-Year,24.75,72,0,0,0,0,0,0,0,0,Paid Search,581.99,1859.1,2369.45,4.07,23.5,Male,0
8263-QMNTJ,2019-01-08,2019-01,Business,2-Year,115.55,72,0,6,1,1,1,1,1,1,Paid Search,581.87,8425.3,9579.92,16.46,5.0,Male,0
6919-ELBGL,2019-01-08,2019-01,Business,2-Year,114.95,72,0,6,1,1,1,1,1,1,Partnerships,972.85,8196.4,9345.03,9.61,8.5,Male,1
1813-JYWTO,2019-01-08,2019-01,Business,2-Year,80.45,72,0,1,1,0,0,0,0,0,Paid Search,524.64,5737.6,6541.49,12.47,6.5,Female,0
6749-UTDVX,2019-01-08,2019-01,Business,2-Year,103.65,72,0,4,0,1,1,0,1,1,Paid Social,600.46,7634.8,8670.51,14.44,5.8,Male,0
8749-TZYEC,2019-01-08,2019-01,Starter,2-Year,24.8,72,0,0,0,0,0,0,0,0,Organic Search,133.98,1874.3,2385.68,17.81,5.4,Male,0
7566-DSRLQ,2019-01-08,2019-01,Business,2-Year,110.15,72,0,5,0,1,1,1,1,1,Content,245.23,7998.8,9099.46,37.11,2.2,Female,0
8628-MFKAX,2019-01-09,2019-01,Business,2-Year,116.75,72,0,6,1,1,1,1,1,1,Referral,363.77,8277.05,9443.66,25.96,3.1,Female,1
1488-PBLJN,2019-01-09,2019-01,Business,2-Year,116.85,72,0,6,1,1,1,1,1,1,Paid Search,332.7,8477.7,9645.31,28.99,2.8,Female,0
3544-FBCAS,2019-01-09,2019-01,Business,2-Year,83.6,72,0,5,1,1,1,0,1,1,Content,145.16,5959.3,6794.66,46.81,1.7,Female,0
6585-WCEWR,2019-01-09,2019-01,Starter,2-Year,20.35,72,0,0,0,0,0,0,0,0,Organic Search,113.9,1354.4,1774.02,15.58,5.6,Male,0
8901-UPRHR,2019-01-09,2019-01,Business,2-Year,109.2,72,0,5,0,1,1,1,1,1,Paid Search,558.92,7711.45,8802.62,15.75,5.1,Female,0
4718-WXBGI,2019-01-09,2019-01,Business,2-Year,91.95,72,0,6,1,1,1,1,1,1,Paid Search,407.52,6614.9,7533.7,18.49,4.4,Male,0
0336-PIKEI,2019-01-09,2019-01,Professional,2-Year,74.4,72,0,5,1,1,1,1,1,0,Paid Search,399.19,5360.75,5910.67,14.81,5.4,Male,1
1452-UZOSF,2019-01-09,2019-01,Business,2-Year,106.1,72,0,5,1,1,1,1,1,0,Organic Search,207.12,7548.6,8608.79,41.56,2.0,Male,0
8309-PPCED,2019-01-09,2019-01,Business,2-Year,110.45,72,0,5,0,1,1,1,1,1,Content,182.97,7982.5,9086.16,49.66,1.7,Female,0
2499-AJYUA,2019-01-09,2019-01,Business,2-Year,110.8,72,0,5,0,1,1,1,1,1,Organic Search,85.37,7882.25,8989.41,105.3,0.8,Female,1
1779-PWPMG,2019-01-09,2019-01,Business,2-Year,114.65,72,0,6,1,1,1,1,1,1,Partnerships,543.28,8333.95,9479.58,17.45,4.7,Female,1
0129-KPTWJ,2019-01-09,2019-01,Business,Monthly,94.65,72,0,3,0,0,1,0,1,1,Organic Search,284.11,6747.35,7693.13,27.08,3.0,Male,0
3810-DVDQQ,2019-01-09,2019-01,Business,2-Year,117.6,72,0,6,1,1,1,1,1,1,Organic Search,264.85,8308.9,9484.01,35.81,2.3,Female,0
1304-SEGFY,2019-01-09,2019-01,Business,2-Year,97.85,72,0,3,0,0,1,0,1,1,Partnerships,567.51,6841.3,7819.06,13.78,5.8,Female,0
9823-EALYC,2019-01-09,2019-01,Business,2-Year,80.85,72,0,5,1,1,1,1,1,0,Partnerships,610.29,5727.45,6535.34,10.71,7.5,Male,0
2040-XBAVJ,2019-01-09,2019-01,Business,2-Year,114.45,72,0,6,1,1,1,1,1,1,Referral,132.56,8100.55,9244.18,69.74,1.2,Male,0
2272-WUSPA,2019-01-10,2019-01,Business,2-Year,110.75,72,0,5,1,1,1,0,1,1,Paid Social,513.06,7751.7,8858.36,17.27,4.6,Female,0
0917-EZOLA,2019-01-10,2019-01,Business,2-Year,104.15,72,1,4,0,1,1,0,1,1,Paid Search,479.93,7689.95,7689.95,16.02,4.6,Male,1
6904-JLBGY,2019-01-10,2019-01,Business,2-Year,117.35,72,0,6,1,1,1,1,1,1,Content,241.01,8436.25,9608.86,39.87,2.1,Female,1
8999-XXGNS,2019-01-10,2019-01,Business,Annual,105.75,72,0,4,0,1,1,0,1,1,Content,182.59,7629.85,8686.55,47.57,1.7,Female,1
6034-ZRYCV,2019-01-10,2019-01,Professional,2-Year,54.2,72,1,4,0,1,1,0,1,1,Paid Search,575.95,3937.45,3937.45,6.84,10.6,Female,0
2234-XADUH,2019-01-10,2019-01,Business,Annual,103.2,72,0,4,0,1,1,0,1,1,Referral,213.76,7362.9,8394.12,39.27,2.1,Female,0
1951-IEYXM,2019-01-10,2019-01,Business,2-Year,90.6,72,0,6,1,1,1,1,1,1,Paid Search,385.78,6441.85,7347.16,19.04,4.3,Male,0
4139-DETXS,2019-01-10,2019-01,Professional,2-Year,64.45,72,0,6,1,1,1,1,1,1,Paid Search,627.89,4528.0,5004.38,7.97,9.7,Female,0
6348-SNFUS,2019-01-10,2019-01,Professional,2-Year,55.45,72,0,5,1,1,1,1,0,1,Partnerships,825.04,4179.2,4589.05,5.56,14.9,Male,0
5914-XRFQB,2019-01-11,2019-01,Business,2-Year,115.8,72,0,6,1,1,1,1,1,1,Organic Search,204.58,8424.9,9582.02,46.84,1.8,Male,0
0665-XHDJU,2019-01-11,2019-01,Business,2-Year,99.4,72,0,3,0,1,0,0,1,1,Partnerships,575.76,7285.7,8278.94,14.38,5.8,Male,0
9861-PDSZP,2019-01-11,2019-01,Business,2-Year,108.05,72,0,5,0,1,1,1,1,1,Content,245.75,7806.6,8886.28,36.16,2.3,Female,0
3244-CQPHU,2019-01-11,2019-01,Business,2-Year,110.1,72,0,5,1,1,0,1,1,1,Partnerships,911.42,7746.7,8846.86,9.71,8.3,Female,1
8218-FFJDS,2019-01-11,2019-01,Business,2-Year,86.4,72,0,5,1,1,0,1,1,1,Referral,243.31,6058.95,6922.29,28.45,2.8,Female,0
5248-YGIJN,2019-01-11,2019-01,Business,2-Year,90.25,72,0,6,1,1,1,1,1,1,Content,166.44,6369.45,7271.26,43.69,1.8,Male,0
4707-MAXGU,2019-01-11,2019-01,Starter,2-Year,25.85,72,0,0,0,0,0,0,0,0,Content,200.82,1872.2,2405.23,11.98,7.8,Male,0
0078-XZMHT,2019-01-11,2019-01,Business,2-Year,85.15,72,0,5,0,1,1,1,1,1,Content,255.46,6316.2,7167.05,28.06,3.0,Male,0
8224-KDLKN,2019-01-11,2019-01,Starter,2-Year,25.0,72,0,0,0,0,0,0,0,0,Paid Search,535.36,1738.9,2254.4,4.21,21.4,Male,0
9339-FIIJL,2019-01-11,2019-01,Business,2-Year,85.95,72,0,5,0,1,1,1,1,1,Content,167.26,6151.9,7010.75,41.92,1.9,Male,0
1320-GVNHT,2019-01-11,2019-01,Business,2-Year,108.4,72,0,5,1,1,1,0,1,1,Partnerships,623.9,7767.25,8850.43,14.19,5.8,Male,0
2469-DTSGX,2019-01-11,2019-01,Business,2-Year,111.65,72,0,5,0,1,1,1,1,1,Paid Search,516.26,7943.45,9059.1,17.55,4.6,Female,1
1352-HNSAW,2019-01-12,2019-01,Business,2-Year,115.6,72,0,6,1,1,1,1,1,1,Paid Search,548.91,8220.4,9375.52,17.08,4.7,Female,0
5115-GZDEL,2019-01-12,2019-01,Professional,2-Year,67.2,72,0,6,1,1,1,1,1,1,Paid Social,810.37,4671.7,5168.4,6.38,12.1,Male,0
5598-IKHQQ,2019-01-12,2019-01,Starter,2-Year,25.45,72,0,0,0,0,0,0,0,0,Organic Search,179.52,1866.45,2391.23,13.32,7.1,Female,0
4231-LZUYM,2019-01-12,2019-01,Starter,2-Year,25.65,72,0,0,0,0,0,0,0,0,Content,257.87,1887.0,2415.91,9.37,10.1,Female,0
9926-PJHDQ,2019-01-12,2019-01,Professional,2-Year,76.8,72,0,3,0,0,1,0,1,1,Paid Social,504.23,5468.45,6036.11,11.97,6.6,Female,0
0675-NCDYU,2019-01-12,2019-01,Business,2-Year,116.4,72,0,6,1,1,1,1,1,1,Paid Social,689.23,8543.25,9706.37,14.08,5.9,Female,0
6374-NTQLP,2019-01-12,2019-01,Business,2-Year,104.1,72,0,5,1,0,1,1,1,1,Paid Search,497.81,7447.7,8487.91,17.05,4.8,Male,1
5781-BKHOP,2019-01-12,2019-01,Business,2-Year,100.65,72,0,4,1,1,1,0,1,0,Organic Search,242.54,7334.05,8339.78,34.39,2.4,Female,0
3262-EIDHV,2019-01-12,2019-01,Business,2-Year,84.7,72,0,5,1,0,1,1,1,1,Partnerships,418.6,5893.9,6740.26,16.1,4.9,Female,0
3339-EAQNV,2019-01-12,2019-01,Business,Annual,97.25,72,0,3,0,1,0,0,1,1,Content,106.51,7133.1,8104.86,76.09,1.1,Male,1
5172-RKOCB,2019-01-12,2019-01,Business,2-Year,108.95,72,0,5,1,1,0,1,1,1,Partnerships,834.02,7875.0,8963.67,10.75,7.7,Male,0
1162-ECVII,2019-01-12,2019-01,Business,2-Year,109.75,72,0,5,0,1,1,1,1,1,Partnerships,1032.65,7932.5,9029.17,8.74,9.4,Male,1
5304-EFJLP,2019-01-12,2019-01,Business,2-Year,111.65,72,0,5,0,1,1,1,1,1,Organic Search,148.99,8022.85,9138.5,61.34,1.3,Male,1
5893-KCLGT,2019-01-12,2019-01,Starter,2-Year,19.75,72,0,0,0,0,0,0,0,0,Paid Search,416.31,1567.0,1974.25,4.74,21.1,Female,0
2388-LAESQ,2019-01-13,2019-01,Business,2-Year,114.85,72,0,6,1,1,1,1,1,1,Content,186.43,8317.95,9465.58,50.77,1.6,Female,1
4056-QHXHZ,2019-01-13,2019-01,Business,2-Year,107.45,72,0,5,1,0,1,1,1,1,Referral,322.22,7576.7,8650.38,26.85,3.0,Female,0
8152-VETUR,2019-01-13,2019-01,Business,2-Year,97.7,72,0,3,0,1,0,0,1,1,Paid Social,741.67,6869.7,7845.96,10.58,7.6,Female,0
